entry_date,exit_date,direction,entry_price,exit_price,underlying_pnl,pnl_pct,theta_cost,confidence
2025-11-18,2025-11-18,CALL,5.0,27138.0,5426.6,0.2,0.015,0.6003848
2025-11-18,2025-11-18,CALL,15.0,26696.0,1778.7333333333333,0.2,0.015,0.6028699
2025-11-20,2025-11-21,CALL,39.0,26690.0,683.3589743589744,0.2,0.015,0.6054432
2025-11-21,2025-11-21,CALL,41.0,26748.0,651.390243902439,0.2,0.015,0.60797215
2025-11-25,2025-11-25,CALL,18.0,26980.0,1497.888888888889,0.2,0.015,0.6011145
2025-11-26,2025-11-26,CALL,16.0,27339.0,1707.6875,0.2,0.015,0.6050117
2025-11-27,2025-11-27,CALL,35.0,27589.0,787.2571428571429,0.2,0.015,0.6088618
2025-11-27,2025-11-28,CALL,13.0,27577.0,2120.3076923076924,0.2,0.015,0.61137855
2025-11-28,2025-11-28,CALL,13.0,27444.0,2110.076923076923,0.2,0.015,0.60328394
2025-12-02,2025-12-02,CALL,26.0,27704.0,1064.5384615384614,0.2,0.015,0.60781634
2025-12-03,2025-12-03,CALL,29.0,27795.0,957.448275862069,0.2,0.015,0.61181706
2025-12-04,2025-12-04,CALL,25.0,27860.0,1113.4,0.2,0.015,0.6072242
2025-12-05,2025-12-05,CALL,42.0,27800.0,660.9047619047619,0.2,0.015,0.60140735
2025-12-05,2025-12-08,CALL,31.0,28057.0,904.0645161290323,0.2,0.015,0.60050565
2025-12-08,2025-12-08,CALL,50.0,28309.0,565.18,0.2,0.015,0.6100699
2025-12-09,2025-12-09,CALL,32.0,28092.0,876.875,0.2,0.015,0.60847217
2025-12-10,2025-12-10,CALL,56.0,28472.0,507.42857142857144,0.2,0.015,0.601606
2025-12-11,2025-12-11,CALL,77.0,28160.0,364.7142857142857,0.2,0.015,0.60795885
2025-12-12,2025-12-12,CALL,35.0,46.0,0.3142857142857143,-0.03,0.015,0.6056096
2025-12-15,2025-12-15,CALL,115.0,27891.0,241.5304347826087,0.2,0.015,0.6086862
2025-12-15,2025-12-16,CALL,96.0,27842.0,289.0208333333333,0.2,0.015,0.6085553
2025-12-16,2025-12-16,CALL,92.0,27785.0,301.0108695652174,0.2,0.015,0.6013438
2025-12-17,2025-12-17,CALL,67.0,27744.0,413.089552238806,0.2,0.015,0.606515
2025-12-18,2025-12-18,CALL,72.0,27498.0,380.9166666666667,0.2,0.015,0.60778433
2025-12-18,2025-12-19,CALL,74.0,27957.0,376.7972972972973,0.2,0.015,0.6075135
2025-12-19,2025-12-19,CALL,56.0,27970.0,498.4642857142857,0.2,0.015,0.6098765
